x,y
46,63
40,31
30,86
12,70
83,80
42,20
55,70
41,33
59,58
78,65
11,84
3,0
77,8
84,51
53,42
19,30
79,36
29,99
71,83
63,89
7,15
13,76
40,68
80,59
6,51
28,21
3,28
65,36
92,30
3,97
98,88
3,5
81,33
15,67
80,68
73,56
83,6
56,82
77,35
38,7
8,72
43,74
63,32
67,92
6,60
66,80
18,63
44,75
43,1
38,34
88,73
55,19
32,59
8,98
28,51
49,12
67,59
96,6
24,69
56,1
62,34
99,51
75,35
53,46
61,97
42,8
69,10
50,0
88,30
13,50
54,27
53,98
18,87
49,81
99,17
58,62
11,98
5,44
53,9
21,42
29,71
59,46
28,47
15,25
90,53
71,23
70,54
74,54
51,19
40,51
41,97
95,91
11,57
37,33
15,95
48,65
22,50
82,4
48,49
82,48
